-120,-0.046381,0.01,0;-120,0.049516,0.01,0;-120,0.056111,0.01,0;-120,-0.05286,0.01,0;-120,0.0038621,0.01,0;-120,-0.0073712,0.01,0;-120,0.044028,0.01,0;-120,-0.060168,0.01,0;-120,0.059249,0.01,0;-120,0.060378,0.01,0;-120,-0.046865,0.01,0;-120,-0.0020946,0.01,0;-120,0.061377,0.01,0;
-120,-0.0026643,0.01,0;-120,0.024535,0.01,0;-120,-0.026638,0.01,0;-120,0.036135,0.01,0;-120,-0.027364,0.01,0;-120,-0.06514,0.01,0;-120,0.015925,0.01,0;-120,0.10377,0.01,0;-120,-0.064095,0.01,0;-120,0.066623,0.01,0;-120,0.0046579,0.01,0;-120,-0.033321,0.01,0;-120,0.0004864,0.01,0;
-120,-0.096343,0.01,0;-120,0.0089221,0.01,0;-120,0.024885,0.01,0;-120,-0.051298,0.01,0;-120,-0.032048,0.01,0;-120,-0.033913,0.01,0;-120,0.064325,0.01,0;-120,0.024142,0.01,0;-120,0.056126,0.01,0;-120,-0.016127,0.01,0;-120,-0.037497,0.01,0;-120,0.044745,0.01,0;-120,0.076991,0.01,0;
-120,-0.027645,0.01,0;-120,-0.020743,0.01,0;-120,0.0045881,0.01,0;-120,0.026767,0.01,0;-120,-0.041416,0.01,0;-120,0.0066806,0.01,0;-120,-0.0012499,0.01,0;-120,0.04444,0.01,0;-120,-0.050043,0.01,0;-120,-0.0098813,0.01,0;-120,-0.02813,0.01,0;-120,-0.0036559,0.01,0;-120,-0.038546,0.01,0;
-120,-0.054188,0.01,0;-120,0.0089221,0.01,0;-120,-0.0079024,0.01,0;-120,-0.027879,0.01,0;-120,-0.11167,0.01,0;-120,-0.012055,0.01,0;-120,-0.034037,0.01,0;-120,0.058491,0.01,0;-120,0.018654,0.01,0;-120,-0.045791,0.01,0;-120,0.0030966,0.01,0;-120,0.02757,0.01,0;-120,0.0051703,0.01,0;
-120,-0.001103,0.01,0;-120,0.044832,0.01,0;-120,0.074847,0.01,0;-120,0.036135,0.01,0;-120,0.010107,0.01,0;-120,-0.0011259,0.01,0;-120,-0.0012499,0.01,0;-120,-0.011768,0.01,0;-120,0.006164,0.01,0;-120,-0.00051348,0.01,0;-120,-0.020323,0.01,0;-120,-0.0020946,0.01,0;-120,-0.035424,0.01,0;
-120,-0.029207,0.01,0;-120,0.032342,0.01,0;-120,-0.042251,0.01,0;-120,0.039258,0.01,0;-120,-0.072642,0.01,0;-120,-0.11666,0.01,0;-120,-0.023108,0.01,0;-120,0.038194,0.01,0;-120,0.021777,0.01,0;-120,0.0072931,0.01,0;-120,-0.0015873,0.01,0;-120,0.038499,0.01,0;-120,0.012977,0.01,0;
-120,-0.0042256,0.01,0;-120,0.063568,0.01,0;-120,0.010833,0.01,0;-120,-0.0013363,0.01,0;-120,0.017914,0.01,0;-120,-0.079191,0.01,0;-120,0.0096793,0.01,0;-120,-0.053923,0.01,0;-120,0.045197,0.01,0;-120,-0.025494,0.01,0;-120,0.032761,0.01,0;-120,0.1072,0.01,0;-120,0.048887,0.01,0;
-120,-0.0042256,0.01,0;-120,0.0542,0.01,0;-120,-0.054742,0.01,0;-120,0.05331,0.01,0;-120,-0.017996,0.01,0;-120,-0.11822,0.01,0;-120,-0.0090564,0.01,0;-120,0.0022842,0.01,0;-120,0.015532,0.01,0;-120,-0.030178,0.01,0;-120,0.065549,0.01,0;-120,-0.0020946,0.01,0;-120,0.0051703,0.01,0;
-120,-0.0026643,0.01,0;-120,-0.019182,0.01,0;-120,0.038937,0.01,0;-120,-0.026317,0.01,0;-120,0.069437,0.01,0;-120,-0.010494,0.01,0;-120,-0.0074951,0.01,0;-120,-0.1273,0.01,0;-120,0.049881,0.01,0;-120,0.0057317,0.01,0;-120,0.045252,0.01,0;-120,0.036938,0.01,0;-120,0.037958,0.01,0;
-120,-0.013593,0.01,0;-120,-0.014498,0.01,0;-120,-0.048496,0.01,0;-120,0.047064,0.01,0;-120,0.053824,0.01,0;-120,-0.074507,0.01,0;-120,-0.02467,0.01,0;-120,0.027265,0.01,0;-120,-0.0094491,0.01,0;-120,0.057255,0.01,0;-120,0.017148,0.01,0;-120,-0.0067785,0.01,0;-120,-0.054159,0.01,0;
-120,-0.061994,0.01,0;-120,-0.0020071,0.01,0;-120,0.087338,0.01,0;-120,-0.048176,0.01,0;-120,0.042895,0.01,0;-120,-0.060456,0.01,0;-120,-0.0059338,0.01,0;-120,-0.07422,0.01,0;-120,0.065494,0.01,0;-120,0.016661,0.01,0;-120,0.012464,0.01,0;-120,0.0057119,0.01,0;-120,0.030151,0.01,0;
-120,0.017633,0.01,0;-120,-0.011375,0.01,0;-120,-9.5822e-05,0.01,0;-120,0.062677,0.01,0;-120,0.07256,0.01,0;-120,-0.043281,0.01,0;-120,-0.0090564,0.01,0;-120,0.041317,0.01,0;-120,-0.050043,0.01,0;-120,0.049448,0.01,0;-120,0.074917,0.01,0;-120,-0.0083398,0.01,0;-120,-0.065089,0.01,0;
-120,-0.041697,0.01,0;-120,0.063568,0.01,0;-120,-0.0016571,0.01,0;-120,-0.10438,0.01,0;-120,-0.10387,0.01,0;-120,-0.083875,0.01,0;-120,0.064325,0.01,0;-120,-0.028942,0.01,0;-120,0.028022,0.01,0;-120,0.033835,0.01,0;-120,0.074917,0.01,0;-120,0.016641,0.01,0;-120,-0.012004,0.01,0;
-120,0.0020196,0.01,0;-120,0.052639,0.01,0;-120,-0.015709,0.01,0;-120,-0.038808,0.01,0;-120,-0.00082181,0.01,0;-120,-0.035475,0.01,0;-120,0.029976,0.01,0;-120,-0.035187,0.01,0;-120,-0.051604,0.01,0;-120,0.0635,0.01,0;-120,0.042129,0.01,0;-120,-0.00053328,0.01,0;-120,-0.044792,0.01,0;
-120,-0.033891,0.01,0;-120,0.027658,0.01,0;-120,-0.0016571,0.01,0;-120,-0.04193,0.01,0;-120,-0.05859,0.01,0;-120,-0.055772,0.01,0;-120,-0.034037,0.01,0;-120,-0.008645,0.01,0;-120,0.035829,0.01,0;-120,0.043203,0.01,0;-120,0.026516,0.01,0;-120,0.033816,0.01,0;-120,-0.0010749,0.01,0;
-120,-0.019839,0.01,0;-120,-0.042601,0.01,0;-120,0.079531,0.01,0;-120,-0.08877,0.01,0;-120,0.0085461,0.01,0;-120,0.033223,0.01,0;-120,-0.016863,0.01,0;-120,-0.027381,0.01,0;-120,0.03739,0.01,0;-120,-0.027056,0.01,0;-120,-0.012517,0.01,0;-120,0.0041506,0.01,0;-120,0.003609,0.01,0;
-120,-0.043258,0.01,0;-120,-0.039479,0.01,0;-120,0.032692,0.01,0;-120,0.0033476,0.01,0;-120,-0.042977,0.01,0;-120,-0.043281,0.01,0;-120,0.0065567,0.01,0;-120,0.10221,0.01,0;-120,0.085791,0.01,0;-120,-0.019249,0.01,0;-120,-0.04062,0.01,0;-120,-0.0052172,0.01,0;-120,0.003609,0.01,0;
-120,-0.038574,0.01,0;-120,-0.034795,0.01,0;-120,0.057673,0.01,0;-120,-0.031001,0.01,0;-120,0.024159,0.01,0;-120,0.0082419,0.01,0;-120,0.0049954,0.01,0;-120,-0.019574,0.01,0;-120,0.071739,0.01,0;-120,-0.047353,0.01,0;-120,-0.046865,0.01,0;-120,0.054113,0.01,0;-120,-0.0057588,0.01,0;
-120,0.027001,0.01,0;-120,0.013606,0.01,0;-120,-0.060987,0.01,0;-120,0.057993,0.01,0;-120,-0.055468,0.01,0;-120,-0.090121,0.01,0;-120,-0.06058,0.01,0;-120,0.095963,0.01,0;-120,-0.014133,0.01,0;-120,-0.04423,0.01,0;-120,-0.020323,0.01,0;-120,0.033816,0.01,0;-120,-0.074456,0.01,0;
-120,0.019194,0.01,0;-120,-0.036356,0.01,0;-120,0.04206,0.01,0;-120,0.0080315,0.01,0;-120,-0.024241,0.01,0;-120,-0.027668,0.01,0;-120,0.019047,0.01,0;-120,-0.053923,0.01,0;-120,0.082668,0.01,0;-120,-0.042669,0.01,0;-120,-2.6034e-05,0.01,0;-120,0.001028,0.01,0;-120,-0.0010749,0.01,0;
